fips,year,cover_crop_acres,acres_operated
17081,2012,4081,269392
17081,2017,6805,213901
17083,2012,3476,189749
17083,2017,3796,155483
17085,2012,9506,289475
17085,2017,13565,271793
17087,2012,1547,105477
17087,2017,2962,89715
17089,2012,1528,170254
17089,2017,5512,168541
17091,2012,4042,312904
17091,2017,5635,342637
17093,2012,503,137899
17093,2017,1029,129741
17095,2012,2875,414123
17095,2017,10995,347597
17097,2012,872,30594
17097,2017,74,30039
17099,2012,3445,573041
17099,2017,13589,602279
17101,2012,3550,224949
17101,2017,8674,184111
17103,2012,4583,392102
17103,2017,4167,369047
17105,2012,6738,600533
17105,2017,13759,656275
17107,2012,1062,354030
17107,2017,4908,363272
17109,2012,4476,314742
17109,2017,12536,292044
17111,2012,1894,208339
17111,2017,1522,234211
17113,2012,9572,620056
17113,2017,19119,692291
17115,2012,1391,277429
17115,2017,7055,336576
17117,2012,5160,420688
17117,2017,14783,438592
17119,2012,8904,318770
17119,2017,5775,307135
17121,2012,2306,248748
17121,2017,5864,266828
17123,2012,3426,198549
17123,2017,7493,209094
17125,2012,11074,311929
17125,2017,15925,289841
17127,2012,1624,118560
17127,2017,5795,102249
17129,2012,515,168059
17129,2017,2635,157755
17131,2012,3279,282230
17131,2017,11709,251998
17133,2012,1433,176205
17133,2017,3575,193201
17135,2012,2656,438834
17135,2017,12757,382388
17137,2012,6172,300265
17137,2017,15901,309158
17139,2012,2163,201753
17139,2017,2637,204987
17141,2012,2529,354587
17141,2017,5182,376422
17143,2012,2142,250070
17143,2017,4749,250263
17145,2012,1712,184165
17145,2017,7018,180635
17147,2012,1444,256012
17147,2017,4399,259048
17149,2012,4683,447007
17149,2017,9000,411446
17151,2012,406,66035
17151,2017,1155,77997
17153,2012,1115,101266
17153,2017,4927,82158
17155,2012,452,49760
17155,2017,1997,60135
17157,2012,3363,261848
17157,2017,4925,278596
17159,2012,1134,178481
17159,2017,2527,188883
17161,2012,1609,159583
17161,2017,5900,149186
17163,2012,2455,237206
17163,2017,7645,251931
17165,2012,2598,144878
17165,2017,4116,139854
17167,2012,2272,531290
17167,2017,4711,514043
17169,2012,1532,211863
17169,2017,2754,182093
17171,2012,5328,155444
17171,2017,6204,147532
17173,2012,4124,362400
17173,2017,7242,405783
17175,2012,1232,178657
17175,2017,5073,168127
17177,2012,9423,304946
17177,2017,13739,352481
17179,2012,6262,304475
17179,2017,9824,337376
17181,2012,2136,150624
17181,2017,3639,121173
17183,2012,5419,471468
17183,2017,11266,434406
17185,2012,997,115434
17185,2017,4381,106424
17187,2012,2089,340985
17187,2017,4742,338411
17189,2012,7565,349024
17189,2017,10151,354899
17191,2012,4646,368017
17191,2017,10822,368518
17193,2012,2037,289457
17193,2017,9451,310890
17195,2012,6221,370763
17195,2017,13867,403242
17197,2012,1437,216593
17197,2017,3793,234249
17199,2012,4391,103865
17199,2017,6493,103421
17201,2012,1122,178633
17201,2017,4509,182905
17203,2012,3522,283140
17203,2017,13042,322983
18001,2012,4030,212963
18001,2017,10859,210227
18003,2012,6204,281635
18003,2017,18532,270808
18005,2012,5875,160437
18005,2017,14638,171601
18007,2012,6073,251002
18007,2017,19072,254245
18009,2012,146,92165
18009,2017,1332,88010
18011,2012,4182,230029
18011,2017,4600,221703
18013,2012,17,14791
18013,2017,22,14590
18015,2012,7669,224205
18015,2017,12942,204090
18017,2012,5206,199417
18017,2017,7104,200257
18019,2012,2820,93969
18019,2017,1593,78545
18021,2012,6621,161990
18021,2017,4806,162883
18023,2012,11988,247005
18023,2017,16288,223428
18025,2012,(D),52602
18025,2017,1473,46404
18027,2012,15448,225263
18027,2017,28556,225156
18029,2012,1031,64627
18029,2017,652,56573
18031,2012,7071,201929
18031,2017,14267,186528
18033,2012,3750,158931
18033,2017,12642,160894
18035,2012,1490,167783
18035,2017,6543,175266
18037,2012,16537,178989
18037,2017,15915,174877
18039,2012,12432,174929
18039,2017,17755,172847
18041,2012,3126,85928
18041,2017,3564,78242
18043,2012,1578,25013
18043,2017,3743,21463
18045,2012,5700,212012
18045,2017,8932,214412
18047,2012,3313,133021
18047,2017,7228,124960
18049,2012,10719,214452
18049,2017,12246,188411
18051,2012,12353,220410
18051,2017,17019,268146
18053,2012,934,190076
18053,2017,1086,183380
18055,2012,7995,168894
18055,2017,20449,181086
18057,2012,7181,127277
18057,2017,10162,130854
18059,2012,901,169656
18059,2017,9382,165861
18061,2012,7631,148603
18061,2017,10576,134995
18063,2012,12078,152836
18063,2017,5936,218398
18065,2012,2019,168496
18065,2017,4972,176451
18067,2012,2747,145720
18067,2017,4433,144191
18069,2012,5210,197236
18069,2017,4585,188848
18071,2012,6680,201297
18071,2017,12459,183878
18073,2012,9084,270137
18073,2017,13958,282831
18075,2012,5301,207594
18075,2017,19284,175770
18077,2012,2370,106600
18077,2017,3317,95411
18079,2012,5546,128109
18079,2017,9663,123391
18081,2012,2013,141111
18081,2017,2546,144646
18083,2012,38316,311216
18083,2017,36728,329289
18085,2012,19472,261674
18085,2017,34972,254847
18087,2012,17137,195370
18087,2017,25072,204092
18089,2012,3662,112451
18089,2017,4479,133064
18091,2012,17127,248872
18091,2017,33092,227865
18093,2012,13768,147306
18093,2017,7582,134689
18095,2012,3270,207814
18095,2017,9459,205147
18097,2012,(D),17371
18097,2017,3700,20075
18099,2012,7308,199083
18099,2017,12716,206306
18101,2012,5587,62238
18101,2017,4190,62544
18103,2012,6927,193548
18103,2017,12702,175276
18105,2012,833,47765
18105,2017,560,52762
18107,2012,11176,282154
18107,2017,8911,286949
18109,2012,2068,136534
18109,2017,2908,137189
18111,2012,1373,180981
18111,2017,10927,192030
18113,2012,14255,199996
18113,2017,23274,181491
18115,2012,889,24015
18115,2017,486,21461
18117,2012,9826,102433
18117,2017,3452,98251
18119,2012,2610,111931
18119,2017,4875,95527
18121,2012,7480,180752
18121,2017,3785,176571
18123,2012,1797,76868
18123,2017,3275,66275
18125,2012,4054,80538
18125,2017,11806,80016
18127,2012,1822,122523
18127,2017,5270,120554
18129,2012,8344,193733
18129,2017,19238,228748
18131,2012,5984,231880
18131,2017,19529,216503
18133,2012,13101,184917
18133,2017,16799,197619
18135,2012,3978,241758
18135,2017,11328,241074
18137,2012,4707,176069
18137,2017,9836,166711
18139,2012,4592,211315
18139,2017,6468,207572
18141,2012,4060,149981
18141,2017,6995,151975
18143,2012,1894,59291
18143,2017,3663,51472
18145,2012,6779,220477
18145,2017,9673,233059
18147,2012,9602,169428
18147,2017,10641,170406
18149,2012,4456,145703
18149,2017,13674,133459
18151,2012,3448,120324
18151,2017,6256,104570
18153,2012,9371,160079
18153,2017,6800,170245
18155,2012,2716,55017
18155,2017,1746,50519
18157,2012,9395,222136
18157,2017,24507,220199
18159,2012,1607,161345
18159,2017,2965,145181
18161,2012,1759,83024
18161,2017,3182,74491
18163,2012,4610,63909
18163,2017,3974,76554
18165,2012,5067,123097
18165,2017,11435,118394
18167,2012,1671,119977
18167,2017,2621,117530
18169,2012,11124,211239
18169,2017,10167,197588
18171,2012,4729,187854
18171,2017,8360,175961
18173,2012,12495,105252
18173,2017,10368,99651
18175,2012,15910,211941
18175,2017,25313,199529
18177,2012,6274,163494
18177,2017,5910,155931
18179,2012,3094,225047
18179,2017,10598,200334
18181,2012,4730,282882
18181,2017,4887,288195
18183,2012,3616,176255
18183,2017,9833,140099
19001,2012,5154,334850
19001,2017,8669,323549
19003,2012,3060,223454
19003,2017,6661,229267
19005,2012,6963,291726
19005,2017,11364,289164
19007,2012,6123,179274
19007,2017,1824,187713
19009,2012,2116,275557
19009,2017,12387,280351
19011,2012,12498,420639
19011,2017,21574,422127
19013,2012,2908,292163
19013,2017,18032,296765
19015,2012,3510,315061
19015,2017,6476,313343
19017,2012,3481,262085
19017,2017,6161,271500
19019,2012,5937,329781
19019,2017,10886,341903
19021,2012,2697,356640
19021,2017,11942,360849
19023,2012,3343,359246
19023,2017,13656,362751
19025,2012,1481,351082
19025,2017,8384,358205
19027,2012,3751,348944
19027,2017,10489,358858
19029,2012,2546,284752
19029,2017,6678,289926
19031,2012,1995,340387
19031,2017,19053,312457
19033,2012,1003,319791
19033,2017,1837,326879
19035,2012,2524,338678
19035,2017,7300,337334
19037,2012,3343,293096
19037,2017,9641,299179
19039,2012,1906,192845
19039,2017,3084,168964
19041,2012,839,329109
19041,2017,5739,318772
19043,2012,7246,412655
19043,2017,23102,398022
19045,2012,5104,402733
19045,2017,9944,417189
19047,2012,4948,439773
19047,2017,14985,450871
19049,2012,3373,293435
19049,2017,4704,306423
19051,2012,5581,198596
19051,2017,10027,214033
19053,2012,2258,236134
19053,2017,6218,231504
19055,2012,7821,364645
19055,2017,11995,365560
19057,2012,950,174662
19057,2017,4699,172683
19059,2012,1182,187273
19059,2017,3377,187363
19061,2012,12719,313476
19061,2017,15779,291441
19063,2012,523,229814
19063,2017,4118,218987
19065,2012,4243,384871
19065,2017,14624,388497
19067,2012,1581,310757
19067,2017,11858,317709
19069,2012,1288,349217
19069,2017,8360,355381
19071,2012,707,274248
19071,2017,8171,287454
19073,2012,3100,351286
19073,2017,10573,356867
19075,2012,3422,308030
19075,2017,21788,318047
19077,2012,5225,332211
19077,2017,10548,327627
19079,2012,2028,315307
19079,2017,2937,327031
19081,2012,5089,345431
19081,2017,2915,353351
19083,2012,812,336611
19083,2017,6391,332266
19085,2012,1726,379592
19085,2017,5866,393638
19087,2012,4964,261841
19087,2017,9919,269561
19089,2012,4010,299175
19089,2017,14203,299927
19091,2012,543,239534
19091,2017,7641,234829
19093,2012,658,263097
19093,2017,2863,260962
19095,2012,5427,346569
19095,2017,23528,336084
19097,2012,6712,315748
19097,2017,11978,308956
19099,2012,6137,378175
19099,2017,16510,373652
19101,2012,4011,205904
19101,2017,17224,198138
19103,2012,7124,304239
19103,2017,21561,328672
19105,2012,5007,343688
19105,2017,7230,314005
19107,2012,4316,318213
19107,2017,24317,295483
19109,2012,2987,593983
19109,2017,8885,599439
19111,2012,3996,220410
19111,2017,5306,236004
19113,2012,4187,324507
19113,2017,14745,339283
19115,2012,4264,190019
19115,2017,16072,168540
19117,2012,1487,175437
19117,2017,5061,177342
19119,2012,7011,346280
19119,2017,14971,369847
19121,2012,1738,271017
19121,2017,4905,276104
19123,2012,3427,311136
19123,2017,10011,322964
19125,2012,4622,255013
19125,2017,8941,264902
19127,2012,1359,316451
19127,2017,15100,312402
19129,2012,1214,207505
19129,2017,6361,206299
19131,2012,3151,289250
19131,2017,13101,296235
19133,2012,3665,333858
19133,2017,4778,338164
19135,2012,1671,193082
19135,2017,4049,195115
19137,2012,1586,244890
19137,2017,5492,244925
19139,2012,5998,219283
19139,2017,10169,214992
19141,2012,2436,314245
19141,2017,3229,304497
19143,2012,2350,234824
19143,2017,5756,238220
19145,2012,3356,325450
19145,2017,11933,317063
19147,2012,4923,342027
19147,2017,3777,358769
19149,2012,3011,503438
19149,2017,15127,541817
19151,2012,6807,329401
19151,2017,8546,332065
19153,2012,2266,193780
19153,2017,8280,197535
19155,2012,4239,511714
19155,2017,13711,532833
19157,2012,5364,339589
19157,2017,10447,334447
19159,2012,2078,303198
19159,2017,2297,269777
19161,2012,4692,353174
19161,2017,9275,357032
19163,2012,3284,219935
19163,2017,7004,220578
19165,2012,4851,370551
19165,2017,7979,372350
19167,2012,8849,483501
19167,2017,16473,484491
19169,2012,2504,304022
19169,2017,14615,306000
19171,2012,5963,406984
19171,2017,15942,402701
19173,2012,2807,288530
19173,2017,5750,278630
19175,2012,2493,246058
19175,2017,3055,214412
19177,2012,2655,210319
19177,2017,2955,213358
19179,2012,2904,199424
19179,2017,7334,188845
19181,2012,4033,247153
19181,2017,4944,263540
19183,2012,11451,310445
19183,2017,30819,314409
19185,2012,4025,285213
19185,2017,3072,273774
19187,2012,2644,409293
19187,2017,7198,408928
19189,2012,1094,246106
19189,2017,1331,235443
19191,2012,11547,391393
19191,2017,17029,376279
19193,2012,4133,450763
19193,2017,6809,445641
19195,2012,747,238824
19195,2017,3293,234958
19197,2012,2732,356303
19197,2017,5395,359713
20001,2012,1973,239906
20001,2017,4330,245315
20003,2012,5736,364522
20003,2017,10007,366176
20005,2012,875,235896
20005,2017,6841,220404
20007,2012,1529,631631
20007,2017,3100,590678
20009,2012,4002,557961
20009,2017,10563,566088
20011,2012,2523,336045
20011,2017,448,334301
20013,2012,1289,311595
20013,2017,7354,294888
20015,2012,2651,798408
20015,2017,10681,768149
20017,2012,1407,360077
20017,2017,4725,392577
20019,2012,1233,288421
20019,2017,328,310310
20021,2012,7695,319315
20021,2017,722,308233
20023,2012,3233,529326
20023,2017,2754,546666
20025,2012,678,434295
20025,2017,1534,503272
20027,2012,2137,386077
20027,2017,4685,362520
20029,2012,2384,322034
20029,2017,6986,321962
20031,2012,3438,386279
20031,2017,9284,329243
20033,2012,268,453556
20033,2017,708,485080
20035,2012,1491,563453
20035,2017,2102,574614
20037,2012,2163,335118
20037,2017,309,323222
20039,2012,3270,420032
20039,2017,5174,462433
20041,2012,6376,519171
20041,2017,7415,510193
20043,2012,745,177485
20043,2017,3416,179549
20045,2012,979,230364
20045,2017,1850,210676
20047,2012,8886,392025
20047,2017,2516,394445
20049,2012,387,246933
20049,2017,362,316385
20051,2012,1070,501699
20051,2017,747,496526
20053,2012,633,390042
20053,2017,6240,381185
20055,2012,3841,790500
20055,2017,4193,815905
20057,2012,6902,669832
20057,2017,2323,699719
20059,2012,3466,355436
20059,2017,3941,361776
20061,2012,313,155153
20061,2017,2532,145694
20063,2012,3769,567444
20063,2017,7038,578663
20065,2012,1255,470466
20065,2017,611,482836
20067,2012,1441,358649
20067,2017,1933,363512
20069,2012,5775,556070
20069,2017,2677,547153
20071,2012,1641,474883
20071,2017,2372,497397
20073,2012,3227,616017
20073,2017,2203,701012
20075,2012,1935,544086
20075,2017,(D),635157
20077,2012,3914,489183
20077,2017,3080,506006
20079,2012,5801,343952
20079,2017,10821,339584
20081,2012,1847,363751
20081,2017,640,363603
20083,2012,939,494925
20083,2017,1679,542530
20085,2012,3111,334572
20085,2017,8640,329244
20087,2012,2487,255404
20087,2017,2625,243634
20089,2012,4694,463206
20089,2017,11863,463695
20091,2012,736,87121
20091,2017,333,99354
20093,2012,2910,516230
20093,2017,2443,546828
20095,2012,2222,516728
20095,2017,6781,542010
20097,2012,4721,442981
20097,2017,11444,455235
20099,2012,1349,399292
20099,2017,793,370531
20101,2012,8614,417017
20101,2017,(D),452332
20103,2012,1937,194636
20103,2017,4731,184471
20105,2012,2836,384740
20105,2017,3655,397172
20107,2012,1865,302064
20107,2017,4344,354658
20109,2012,241,604595
20109,2017,3215,566439
20111,2012,3106,522934
20111,2017,8706,534673
20113,2012,4242,558094
20113,2017,19654,571577
20115,2012,6741,567828
20115,2017,11485,596296
20117,2012,4476,499934
20117,2017,14923,438438
20119,2012,2420,587924
20119,2017,1747,617997
20121,2012,8388,295774
20121,2017,11652,295743
20123,2012,6161,414220
20123,2017,5447,438999
20125,2012,848,365696
20125,2017,1562,335669
20127,2012,2392,409269
20127,2017,4009,389152
20129,2012,685,401305
20129,2017,245,456844
20131,2012,6046,400274
20131,2017,13215,382602
20133,2012,685,323092
20133,2017,2847,308150
20135,2012,429,668404
20135,2017,435,678149
20137,2012,2988,494960
20137,2017,3346,502195
20139,2012,5186,439560
20139,2017,14773,442279
20141,2012,1683,437083
20141,2017,6219,440051
20143,2012,3607,439335
20143,2017,4671,419823
20145,2012,7307,474275
20145,2017,12401,480379
20147,2012,1510,497363
20147,2017,3284,495030
20149,2012,3894,406031
20149,2017,6829,409659
20151,2012,7312,465191
20151,2017,12569,464527
20153,2012,921,603529
20153,2017,627,609204
20155,2012,11016,788966
20155,2017,25317,789525
20157,2012,1866,373206
20157,2017,7434,361076
20159,2012,8345,463294
20159,2017,32225,457603
20161,2012,1938,214311
20161,2017,7253,218180
20163,2012,1162,558649
20163,2017,4713,551421
20165,2012,4177,448229
20165,2017,4274,453137
20167,2012,624,492456
20167,2017,3707,435529
20169,2012,3095,358243
20169,2017,1594,364468
20171,2012,6663,460338
20171,2017,2613,453429
20173,2012,6005,496568
20173,2017,10092,486723
20175,2012,2363,360711
20175,2017,5820,401816
20177,2012,3818,201662
20177,2017,7790,194274
20179,2012,2060,512108
20179,2017,4698,561880
20181,2012,960,618428
20181,2017,1751,594906
20183,2012,2797,541472
20183,2017,5108,500364
20185,2012,2770,493694
20185,2017,9642,498769
20187,2012,426,435254
20187,2017,1203,429179
20189,2012,2277,455494
20189,2017,2419,455566
20191,2012,6383,757777
20191,2017,15072,719611
20193,2012,(D),669940
20193,2017,2559,675079
20195,2012,3770,515452
20195,2017,1587,446696
20197,2012,1686,378759
20197,2017,2032,396309
20199,2012,361,445809
20199,2017,201,487914
20201,2012,8676,525675
20201,2017,10344,490063
20203,2012,3251,437945
20203,2017,1285,463779
20205,2012,353,286824
20205,2017,872,254671
20207,2012,420,282986
20207,2017,1339,294643
20209,2012,(D),12395
20209,2017,105,12009
21001,2012,3916,172062
21001,2017,5635,170177
21003,2012,3758,168697
21003,2017,4316,145691
21005,2012,1328,81868
21005,2017,784,81023
21007,2012,7642,94340
21007,2017,9117,107186
21009,2012,9818,253834
21009,2017,13981,248663
21011,2012,1330,127159
21011,2017,1889,142253
21013,2012,30,15103
21013,2017,39,8065
21015,2012,1500,78754
21015,2017,1738,67211
21017,2012,5061,170872
21017,2017,4673,183764
21019,2012,83,19470
21019,2017,31,21800
21021,2012,3452,88642
21021,2017,1753,101549
21023,2012,3098,86844
21023,2017,1745,86813
21025,2012,119,23196
21025,2017,155,22224
21027,2012,12011,275105
21027,2017,14726,259774
21029,2012,1234,44420
21029,2017,615,46149
21031,2012,2121,146810
21031,2017,3762,152552
21033,2012,1859,130160
21033,2017,2770,133499
21035,2012,24306,135521
21035,2017,8817,176076
21037,2012,239,46094
21037,2017,451,42164
21039,2012,6131,88015
21039,2017,9406,98620
21041,2012,476,50908
21041,2017,205,53562
21043,2012,349,91991
21043,2017,487,105842
21045,2012,3878,179257
21045,2017,4844,179089
21047,2012,10251,345581
21047,2017,11131,360276
21049,2012,1215,147283
21049,2017,1831,137397
21051,2012,777,44356
21051,2017,711,35124
21053,2012,1062,65153
21053,2017,968,74050
21055,2012,2484,157946
21055,2017,3489,148795
21057,2012,80,81568
21057,2017,483,65445
21059,2012,10430,237989
21059,2017,11184,237234
21061,2012,1047,81589
21061,2017,1465,84989
21063,2012,124,54996
21063,2017,500,56336
21065,2012,246,53102
21065,2017,536,52286
21067,2012,2194,114624
21067,2017,4636,114857
21069,2012,8323,171481
21069,2017,6073,183198
21071,2012,0,9141
21071,2017,320,8160
21073,2012,1220,74568
21073,2017,1612,78536
21075,2012,1680,97615
21075,2017,3598,83382
21077,2012,861,32510
21077,2017,716,27783
21079,2012,2385,141016
21079,2017,4261,127235
21081,2012,1218,96780
21081,2017,2422,98372
21083,2012,13518,251192
21083,2017,9400,291813
21085,2012,3952,212343
21085,2017,7205,200895
21087,2012,4680,156259
21087,2017,4766,152535
21089,2012,210,73753
21089,2017,274,78632
21091,2012,1318,47726
21091,2017,233,52195
21093,2012,7929,199201
21093,2017,12315,202970
21095,2012,0,6748
21095,2017,NA,6265
21097,2012,4615,167635
21097,2017,3332,164457
21099,2012,3301,169771
21099,2017,4509,182385
21101,2012,3101,180644
21101,2017,2262,175914
21103,2012,2568,131006
21103,2017,4040,128509
21105,2012,9172,118474
21105,2017,9632,141131
21107,2012,1377,146376
21107,2017,851,162955
21109,2012,415,75203
21109,2017,191,77803
21111,2012,342,20225
21111,2017,255,23088
21113,2012,960,76259
21113,2017,846,83644
21115,2012,(D),22007
21115,2017,19,24296
21117,2012,533,36731
21117,2017,425,38144
21119,2012,0,12748
21119,2017,NA,6743
21121,2012,41,38722
21121,2017,228,33531
21123,2012,6460,110371
21123,2017,5860,111975
21125,2012,795,89692
21125,2017,927,96054
21127,2012,75,51216
21127,2017,178,41681
21129,2012,150,25073
21129,2017,111,22221
21131,2012,(D),1649
21131,2017,(D),(D)
21133,2012,7,5623
21133,2017,4,2876
21135,2012,2284,117417
21135,2017,1538,117955
21137,2012,7445,163249
21137,2017,10803,180755
21139,2012,6853,121680
21139,2017,2949,123200
21141,2012,7781,276309
21141,2017,14000,275836
21143,2012,1269,32681
21143,2017,849,41638
21145,2012,1366,62082
21145,2017,2931,67192
21147,2012,16,18321
21147,2017,224,18093
21149,2012,3453,129310
21149,2017,5688,124379
21151,2012,2495,229824
21151,2017,2569,232801
21153,2012,161,43788
21153,2017,74,44451
21155,2012,8433,162949
21155,2017,10480,166417
21157,2012,925,84676
21157,2017,3004,94879
21159,2012,(D),11039
21159,2017,(D),(D)
21161,2012,6515,132113
21161,2017,9414,126722
21163,2012,6007,141054
21163,2017,15422,119495
21165,2012,370,35362
21165,2017,104,40962
21167,2012,2281,136446
21167,2017,4122,144250
21169,2012,2543,138477
21169,2017,5283,125293
21171,2012,7370,159857
21171,2017,9302,172276
21173,2012,1036,103033
21173,2017,2497,99436
21175,2012,444,106529
21175,2017,512,118797
21177,2012,1869,127522
21177,2017,2200,128761
21179,2012,8124,213534
21179,2017,9500,187755
21181,2012,2974,92873
21181,2017,1914,102192
21183,2012,2982,157657
21183,2017,3396,158244
21185,2012,633,51467
21185,2017,410,60354
21187,2012,1887,157396
21187,2017,1884,131959
21189,2012,435,29144
21189,2017,289,27560
21191,2012,1324,111314
21191,2017,1745,101299
21193,2012,49,16352
21193,2017,415,10953
21195,2012,(D),19478
21195,2017,158,13387
21197,2012,168,27998
21197,2017,(D),30055
21199,2012,5815,226188
21199,2017,6330,228187
21201,2012,485,42256
21201,2017,327,38823
21203,2012,709,80706
21203,2017,618,90856
21205,2012,574,39565
21205,2017,325,42255
21207,2012,2023,92485
21207,2017,3183,89357
21209,2012,3590,130586
21209,2017,4252,127479
21211,2012,9308,200875
21211,2017,11204,199341
21213,2012,1531,110864
21213,2017,1044,101530
21215,2012,2261,74197
21215,2017,6093,69125
21217,2012,3904,111756
21217,2017,3869,114568
21219,2012,5745,167953
21219,2017,9884,181001
21221,2012,1727,122172
21221,2017,4631,128997
21223,2012,1248,65954
21223,2017,843,55632
21225,2012,2739,194630
21225,2017,4147,194864
21227,2012,4447,262198
21227,2017,7319,246708
21229,2012,5425,161449
21229,2017,5705,140948
21231,2012,1706,96079
21231,2017,1176,128683
21233,2012,4147,162994
21233,2017,3976,152431
21235,2012,290,58983
21235,2017,234,58423
21237,2012,138,33706
21237,2017,72,42454
21239,2012,1640,112190
21239,2017,2067,111917
22001,2012,1909,265544
22001,2017,749,238218
22003,2012,370,94982
22003,2017,(D),88020
22005,2012,(D),38381
22005,2017,141,50456
22007,2012,0,91906
22007,2017,(D),62173
22009,2012,4128,281988
22009,2017,1890,299158
22011,2012,1057,147575
22011,2017,1917,146203
22013,2012,0,34089
22013,2017,32,55871
22015,2012,610,106823
22015,2017,674,81300
22017,2012,1518,199235
22017,2017,5043,139856
22019,2012,960,354097
22019,2017,384,337982
22021,2012,128,67723
22021,2017,(D),62265
22023,2012,(D),187921
22023,2017,NA,235260
22025,2012,1049,209809
22025,2017,4917,223900
22027,2012,167,63451
22027,2017,(D),57243
22029,2012,717,281423
22029,2017,805,240413
22031,2012,561,136585
22031,2017,170,164341
22033,2012,89,58280
22033,2017,736,57542
22035,2012,8166,221354
22035,2017,4656,251024
22037,2012,624,130971
22037,2017,410,112529
22039,2012,399,158847
22039,2017,1717,191805
22041,2012,3574,254822
22041,2017,1526,246122
22043,2012,563,50853
22043,2017,(D),47977
22045,2012,541,114812
22045,2017,1270,107254
22047,2012,(D),181624
22047,2017,3209,163340
22049,2012,347,20568
22049,2017,38,18607
22051,2012,(D),8144
22051,2017,NA,7748
22053,2012,632,243459
22053,2017,910,265036
22055,2012,92,49652
22055,2017,577,55691
22057,2012,348,156998
22057,2017,479,158168
22059,2012,(D),23607
22059,2017,(D),19520
22061,2012,147,71777
22061,2017,133,55835
22063,2012,43,29643
22063,2017,151,27571
22065,2012,(D),245296
22065,2017,3648,224565
22067,2012,3043,256574
22067,2017,2663,279050
22069,2012,204,213465
22069,2017,21,200979
22071,2012,3,529
22071,2017,11,111
22073,2012,90,93191
22073,2017,1746,93112
22075,2012,35,94096
22075,2017,148,88929
22077,2012,1931,187674
22077,2017,1502,182214
22079,2012,2516,203234
22079,2017,2183,210996
22081,2012,602,95481
22081,2017,362,135346
22083,2012,1453,218386
22083,2017,2525,278986
22085,2012,(D),62189
22085,2017,154,51829
22087,2012,(D),32443
22087,2017,80,31889
22089,2012,(D),14337
22089,2017,28,16216
22091,2012,220,36920
22091,2017,429,53101
22093,2012,(D),50580
22093,2017,NA,39942
22095,2012,0,19885
22095,2017,NA,10758
22097,2012,3430,267399
22097,2017,4911,300821
22099,2012,(D),83477
22099,2017,1416,75909
22101,2012,(D),80168
22101,2017,815,76085
22103,2012,36,43048
22103,2017,115,34113
22105,2012,1133,98090
22105,2017,1482,106710
22107,2012,7011,202002
22107,2017,2892,196627
22109,2012,0,78783
22109,2017,446,92912
22111,2012,230,75307
22111,2017,352,62640
22113,2012,3046,409698
22113,2017,2029,283658
22115,2012,313,40935
22115,2017,217,48995
22117,2012,512,80671
22117,2017,721,81418
22119,2012,(D),58058
22119,2017,166,52281
22121,2012,(D),34085
22121,2017,(D),30300
22123,2012,588,168034
22123,2017,7224,165723
22125,2012,374,86308
22125,2017,86,101261
22127,2012,234,30225
22127,2017,(D),24960
23001,2012,1521,55613
23001,2017,1423,59446
23003,2012,18484,317082
23003,2017,39096,350911
23005,2012,545,50021
23005,2017,600,62701
23007,2012,123,47201
23007,2017,720,49442
23009,2012,222,65209
23009,2017,252,53365
23011,2012,748,82132
23011,2017,1360,78050
23013,2012,111,25601
23013,2017,143,29407
23015,2012,261,25469
23015,2017,144,31569
23017,2012,899,76837
23017,2017,1147,75275
23019,2012,2011,105452
23019,2017,5978,112949
23021,2012,1220,51061
23021,2017,389,46687
23023,2012,324,17687
23023,2017,417,20090
23025,2012,1195,145833
23025,2017,1700,140045
23027,2012,906,56531
23027,2017,1355,130608
23029,2012,14,124845
23029,2017,139,149047
23031,2012,795,61039
23031,2017,599,64512
24001,2012,892,35282
24001,2017,1454,36261
24003,2012,4080,27003
24003,2017,3904,28111
24005,2012,3694,76123
24005,2017,7790,70419
24009,2012,6229,25152
24009,2017,3033,32901
24011,2012,27238,128052
24011,2017,34177,150357
24013,2012,14942,146778
24013,2017,20870,132630
24015,2012,22205,73793
24015,2017,14346,76667
24017,2012,3516,41021
24017,2017,4572,46659
24019,2012,24664,132166
24019,2017,34416,126420
24021,2012,25810,188576
24021,2017,35326,181512
24023,2012,1573,90357
24023,2017,1795,95197
24025,2012,8560,74273
24025,2017,13700,65472
24027,2012,1225,32436
24027,2017,2219,37475
24029,2012,34057,134262
24029,2017,54928,133201
24031,2012,7722,65537
24031,2017,15711,63493
24033,2012,3472,34399
24033,2017,5344,32607
24035,2012,29803,163001
24035,2017,47323,156941
24037,2012,7216,61803
24037,2017,8503,67086
24039,2012,13505,59440
24039,2017,13133,65212
24041,2012,40087,93622
24041,2017,39864,119481
24043,2012,14034,119248
24043,2017,11070,129600
24045,2012,14292,88559
24045,2017,18457,83739
24047,2012,18873,99239
24047,2017,18914,99304
24510,2012,NA,NA
24510,2017,NA,NA
25001,2012,54,6564
25001,2017,95,4676
25003,2012,1444,58647
25003,2017,1978,61656
25005,2012,1042,32025
25005,2017,1612,34869
25007,2012,72,7715
25007,2017,(D),12717
25009,2012,715,20726
25009,2017,877,22397
25011,2012,3280,88247
25011,2017,2621,89772
25013,2012,1727,35992
25013,2017,2119,38705
25015,2012,5161,50644
25015,2017,4152,53951
25017,2012,1445,27332
25017,2017,1070,28230
25019,2012,22,769
25019,2017,78,1232
25021,2012,355,7627
